City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,san-pedro,4.7485,-6.6363,24.81,92,100,4.17,CI,1718057981
185,edd,13.9297,41.6925,32.22,56,2,4.09,ER,1718057836
186,okha,53.5739,142.9478,6.25,95,100,4.02,RU,1718057836
187,rio de janeiro,-22.9028,-43.2075,24.0,88,0,1.54,BR,1718057769
188,raduzhny,62.0961,77.475,13.56,67,99,2.16,RU,1718057982
189,sarigerme,36.7155,28.7044,22.73,78,0,1.54,TR,1718057982
190,labytnangi,66.6572,66.4183,5.21,89,43,3.03,RU,1718057775
191,kapuskasing,49.4169,-82.4331,17.4,29,6,4.91,CA,1718057641
192,magole,-6.3667,37.3667,18.05,77,44,0.61,TZ,1718057982
193,nadym,65.5333,72.5167,14.98,61,57,4.68,RU,1718057982
194,vrangel',42.7297,133.0839,16.3,78,11,1.44,RU,1718057983
195,chibougamau,49.9168,-74.3659,10.79,82,100,4.12,CA,1718057891
196,colonia,50.9333,6.95,11.08,81,75,7.72,DE,1718057866
197,hassi messaoud,31.6804,6.0729,37.92,10,1,2.06,DZ,1718057983
198,dwarka,22.2394,68.9678,28.77,79,39,7.68,IN,1718057983
199,chengdu,30.6667,104.0667,23.32,63,100,1.98,CN,1718057790
200,ramadi,33.4226,43.3058,33.45,23,0,3.53,IQ,1718057983
201,attapeu,14.8,106.8333,24.22,99,100,0.65,LA,1718057983
202,kavaratti,10.5669,72.642,28.28,84,100,6.61,IN,1718057864
203,khilok,51.3674,110.4676,11.19,95,11,1.02,RU,1718057984
204,mar del plata,-38.0023,-57.5575,12.27,92,77,0.45,AR,1718057825
205,wainwright,52.839,-110.8572,17.53,64,70,6.8,CA,1718057714
206,prince rupert,54.3161,-130.3201,12.05,79,100,14.4,CA,1718057984
207,val-d'or,48.1002,-77.7828,7.73,78,100,2.57,CA,1718057816
208,banff,51.1762,-115.5698,20.57,34,96,5.14,CA,1718057984
209,mo i rana,66.3128,14.1428,9.62,93,100,1.03,NO,1718057708
210,hamilton,39.1834,-84.5333,18.69,63,100,5.66,US,1718057196
211,salalah,17.0151,54.0924,30.05,84,75,3.6,OM,1718057985
212,macau,22.2006,113.5461,27.89,100,40,2.57,MO,1718057865
213,al ghayzah,16.2079,52.176,29.33,83,45,6.48,YE,1718057985
214,tazovsky,67.4667,78.7,9.99,64,100,5.07,RU,1718057842
215,nishinoomote,30.7333,131.0,23.69,84,100,5.07,JP,1718057985
216,klyuchi,52.2667,79.1667,18.27,88,77,3.03,RU,1718057985
217,mount gambier,-37.8333,140.7667,14.36,88,100,7.05,AU,1718057891
218,karema,-6.8205,30.4389,21.83,66,4,6.62,TZ,1718057985
219,mao,39.8885,4.2658,21.31,94,20,3.09,ES,1718057985
220,jaunpiebalga,57.1833,26.05,9.75,94,70,2.15,LV,1718057986
221,shimoda,34.6667,138.95,21.72,82,79,1.6,JP,1718057986
222,olonkinbyen,70.9221,-8.7187,-1.33,91,84,5.95,SJ,1718057850
223,bozeman,45.6796,-111.0386,23.44,43,75,4.12,US,1718057934
224,flying fish cove,-10.4217,105.6791,25.82,88,100,5.14,CX,1718057845
225,mejit,10.2753,170.8646,28.34,79,63,8.29,MH,1718057848
226,huinca renanco,-34.8404,-64.3758,14.04,40,100,3.92,AR,1718057986
227,conde,-7.2597,-34.9075,24.7,83,0,2.57,BR,1718057986
228,parli vaijnath,18.85,76.5333,23.92,93,100,2.64,IN,1718057987
229,ad dindar,13.2,34.1667,29.07,64,100,2.49,SD,1718057987
230,rongelap,11.1635,166.8941,28.18,84,6,9.66,MH,1718057852
231,buka,40.8108,69.1986,25.76,28,12,1.66,UZ,1718057987
232,rio de oro,8.2919,-73.3849,21.76,89,100,1.3,CO,1718057987
